Fuel Type Code,Station Name,Street Address,City,State,ZIP,Plus4,Country,Geocode Status,Latitude,Longitude,Open Date,Date Last Confirmed,ID,Updated At,Owner Type Code,Status Code,Expected Date,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,EV Connector Types,Facility Type,EV Pricing,EV On-Site Renewable Source,Restricted Access,Maximum Vehicle Class,EV Workplace Charging,Federal Funding Types,CN_idx,CN_lon,CN_lat,CN_err
ELEC,THE SHORE THE SHORE 14,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673515,-122.382399,2022-10-14,2024-07-09,233414.0,2024-07-09 01:21:36 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522089307,-122.3820544,37.6738775,50.4438665692691
ELEC,THE SHORE THE SHORE 15,1000 Sierra Point Pkwy,Brisbane,CA,94005,,US,GPS,37.67329,-122.382523,2022-10-14,2024-07-09,233415.0,2024-07-09 01:21:37 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522089307,-122.3820544,37.6738775,77.2563912971343
ELEC,THE SHORE THE SHORE 19,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673566,-122.382593,2022-10-14,2024-07-09,233416.0,2024-07-09 01:21:37 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522078500,-122.3825677,37.6740305,51.69809133756468
ELEC,THE SHORE THE SHORE 18,800 Sierra Point Rd,Brisbane,CA,94005,,US,GPS,37.67353,-122.382464,2022-10-14,2024-07-09,233417.0,2024-07-09 01:21:37 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522089307,-122.3820544,37.6738775,52.84539131328536
ELEC,THE SHORE THE SHORE 17,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673507,-122.382465,2022-10-14,2024-07-09,233418.0,2024-07-09 01:21:37 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522089307,-122.3820544,37.6738775,54.801221500867996
ELEC,THE SHORE THE SHORE 22,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673583,-122.382657,2022-10-14,2024-07-09,233419.0,2024-07-09 01:21:37 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522078500,-122.3825677,37.6740305,50.376660522320634
ELEC,THE SHORE THE SHORE 26,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673545,-122.382585,2022-10-14,2024-07-09,233420.0,2024-07-09 01:21:37 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522078500,-122.3825677,37.6740305,54.0066804568851
ELEC,THE SHORE THE SHORE 25,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673606,-122.382665,2022-10-14,2024-07-09,233421.0,2024-07-09 01:21:37 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522078500,-122.3825677,37.6740305,47.9728231804224
ELEC,THE SHORE THE SHORE 24,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673572,-122.38252,2022-10-14,2024-07-09,233422.0,2024-07-09 01:21:38 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522078500,-122.3825677,37.6740305,51.15549943757752
ELEC,THE SHORE THE SHORE 13,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673482,-122.382394,2022-10-14,2024-07-09,233423.0,2024-07-09 01:21:38 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522089307,-122.3820544,37.6738775,53.172989057427436
ELEC,THE SHORE THE SHORE 16,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673475,-122.382523,2022-10-14,2024-07-09,233424.0,2024-07-09 01:21:38 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522089307,-122.3820544,37.6738775,60.86062493654599
ELEC,THE SHORE THE SHORE 23,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.67356,-122.382555,2022-10-14,2024-07-09,233425.0,2024-07-09 01:21:38 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522078500,-122.3825677,37.6740305,52.32922564951242
ELEC,THE SHORE THE SHORE 20,800 Sierra Point Rd,Brisbane,CA,94005,,US,GPS,37.67353,-122.382587,2022-10-14,2024-07-09,233426.0,2024-07-09 01:21:38 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522078500,-122.3825677,37.6740305,55.67905555349144
